N_events,Final_text_length,N_keyboard_events,N_keyboard-combination_events,Ratio_combination,Average_Time,Median_Time,St_Dev_Time,N_deletes,Ratio_deletes,N_pastes,Ratio_pastes,Length_per_event,Label
188,141,182,6,0.032967033,361.1497326,232,463.7881905,22,0.117021277,0,0,0.75,Genuine
1315,1044,1269,46,0.036249015,289.973572,140,661.1147437,94,0.07148289,0,0,0.79391635,Genuine
1434,1140,1403,31,0.02209551,494.6608514,155,1808.55509,131,0.091352859,0,0,0.794979079,Genuine
520,429,454,66,0.145374449,207.6705202,131,399.6268555,24,0.046153846,0,0,0.825,Genuine
669,579,600,69,0.115,220.7964072,131,760.5849312,29,0.043348281,0,0,0.865470852,Genuine
212,198,206,6,0.029126214,459.3270142,216,794.0465099,6,0.028301887,0,0,0.933962264,Genuine
919,875,869,50,0.057537399,301.7440087,112,504.6187962,12,0.013057671,0,0,0.952121872,Fake
31,111,29,2,0.068965517,580.1666667,33,2836.295672,25,0.806451613,1,0.032258065,3.580645161,Fake
11,536,3,8,2.666666667,3800.8,406,5678.105508,1,0.090909091,4,0.363636364,48.72727273,Fake
15,2983,13,2,0.153846154,1361.857143,844,1276.701042,13,0.866666667,1,0.066666667,198.8666667,Fake
8,3015,1,7,7,7116.714286,292,16814.23968,1,0.125,2,0.25,376.875,Fake
3,4565,0,3,3,282.5,282.5,59.5,0,0,1,0.333333333,1521.666667,Fake